11;Bajo;Matutino;Despejado;Coche;Baja;Laboral;Carretera;21
11;Bajo;Mañana;Despejado;Coche;Baja;Finde;Carretera;18
11;Alto;Media Jornada;Despejado;Coche;Buena;Laboral;Carretera;22
11;Bajo;Tarde;Despejado;Coche;Buena;Finde;Carretera;16
11;Bajo;Noche;Despejado;Bus;Baja;Laboral;Carretera;27
11;Bajo;Matutino;Despejado;Bus;Baja;Finde;Carretera;28
11;Bajo;Mañana;Despejado;Bus;Buena;Laboral;Carretera;27
11;Bajo;Media Jornada;Despejado;Bus;Buena;Finde;Carretera;27
11;Alto;Tarde;Lluvioso;Coche;Baja;Laboral;Carretera;26
11;Bajo;Noche;Lluvioso;Coche;Baja;Finde;Carretera;20
11;Bajo;Matutino;Lluvioso;Coche;Buena;Laboral;Carretera;24
11;Bajo;Mañana;Lluvioso;Coche;Buena;Finde;Carretera;23
11;Alto;Media Jornada;Lluvioso;Bus;Baja;Laboral;Carretera;28
11;Bajo;Tarde;Lluvioso;Bus;Baja;Finde;Carretera;27
11;Bajo;Noche;Lluvioso;Bus;Buena;Laboral;Carretera;43
11;Bajo;Matutino;Lluvioso;Bus;Buena;Finde;Carretera;23
11;Habitual;Mañana;Nublado;Coche;Baja;Laboral;Carretera;16
11;Habitual;Media Jornada;Nublado;Coche;Baja;Finde;Carretera;16
11;Habitual;Tarde;Nublado;Coche;Buena;Laboral;Carretera;18
11;Habitual;Noche;Nublado;Coche;Buena;Finde;Carretera;16
11;Habitual;Matutino;Nublado;Bus;Baja;Laboral;Carretera;37
11;Alto;Mañana;Nublado;Bus;Baja;Finde;Carretera;32
11;Habitual;Media Jornada;Nublado;Bus;Buena;Laboral;Carretera;37
11;Habitual;Tarde;Nublado;Bus;Buena;Finde;Carretera;23
11;Habitual;Noche;Tormentoso;Coche;Baja;Laboral;Carretera;23
11;Alto;Matutino;Tormentoso;Coche;Baja;Finde;Carretera;25
11;Habitual;Mañana;Tormentoso;Coche;Buena;Laboral;Carretera;25
11;Habitual;Media Jornada;Tormentoso;Coche;Buena;Finde;Carretera;26
11;Habitual;Tarde;Tormentoso;Bus;Baja;Laboral;Carretera;31
11;Alto;Noche;Tormentoso;Bus;Baja;Finde;Carretera;36
11;Habitual;Matutino;Tormentoso;Bus;Buena;Laboral;Carretera;27
11;Habitual;Mañana;Tormentoso;Bus;Buena;Finde;Carretera;31
11;Habitual;Noche;Lluvioso;Coche;Buena;Laboral;Carretera;17
11;Medio;Matutino;Despejado;Coche;Baja;Laboral;Carretera;27
11;Medio;Mañana;Despejado;Coche;Baja;Finde;Carretera;19
11;Medio;Media Jornada;Despejado;Coche;Buena;Laboral;Carretera;23
11;Alto;Tarde;Despejado;Coche;Buena;Finde;Carretera;25
11;Medio;Noche;Despejado;Bus;Baja;Laboral;Carretera;57
11;Alto;Matutino;Despejado;Bus;Baja;Finde;Carretera;34
11;Medio;Mañana;Despejado;Bus;Buena;Laboral;Carretera;25
11;Medio;Media Jornada;Despejado;Bus;Buena;Finde;Carretera;34
11;Alto;Tarde;Lluvioso;Coche;Baja;Laboral;Carretera;27
11;Medio;Noche;Lluvioso;Coche;Baja;Finde;Carretera;22
11;Medio;Matutino;Lluvioso;Coche;Buena;Laboral;Carretera;28
11;Medio;Mañana;Lluvioso;Coche;Buena;Finde;Carretera;22
11;Alto;Media Jornada;Lluvioso;Bus;Baja;Laboral;Carretera;37
11;Medio;Tarde;Lluvioso;Bus;Baja;Finde;Carretera;27
11;Medio;Noche;Lluvioso;Bus;Buena;Laboral;Carretera;28
11;Medio;Matutino;Lluvioso;Bus;Buena;Finde;Carretera;33
8.5;Habitual;Mañana;Despejado;Coche;Buena;Laboral;Montaña;14
8.5;Medio;Matutino;Nublado;Coche;Buena;Laboral;Montaña;18
8.5;Habitual;Media Jornada;Nublado;Coche;Buena;Finde;Montaña;17
11.4;Habitual;Mañana;Despejado;Coche;Buena;Laboral;Montaña;22
11.4;Habitual;Mañana;Nublado;Bus;Buena;Laboral;Montaña;64
11.4;Habitual;Media Jornada;Nublado;Bus;Baja;Laboral;Montaña;87
11.4;Habitual;Tarde;Nublado;Bus;Baja;Laboral;Montaña;78
4.1;Medio;Mañana;Despejado;Coche;Buena;Laboral;Ciudad;13
4.1;Alto;Matutino;Nublado;Coche;Buena;Laboral;Ciudad;25
4.1;Medio;Matutino;Nublado;Coche;Buena;Laboral;Ciudad;16
4.1;Medio;Matutino;Despejado;Bus;Buena;Laboral;Ciudad;28
4.1;Alto;Matutino;Tormentoso;Coche;Buena;Laboral;Ciudad;27
4.1;Medio;Matutino;Tormentoso;Coche;Buena;Laboral;Ciudad;20
4.1;Habitual;Matutino;Nublado;Bus;Baja;Laboral;Ciudad;28
4.1;Medio;Mañana;Nublado;Coche;Baja;Laboral;Ciudad;19
4.1;Habitual;Tarde;Lluvioso;Coche;Buena;Laboral;Ciudad;18
4.1;Medio;Tarde;Nublado;Coche;Buena;Laboral;Ciudad;18
4.1;Habitual;Tarde;Lluvioso;Bus;Buena;Laboral;Ciudad;30
4.1;Habitual;Tarde;Tormentoso;Bus;Buena;Laboral;Ciudad;35
4.1;Alto;Tarde;Lluvioso;Bus;Buena;Laboral;Ciudad;34
4.1;Alto;Tarde;Tormentoso;Bus;Buena;Laboral;Ciudad;42
3.2;Habitual;Mañana;Nublado;Coche;Buena;Laboral;Ciudad;8
3.2;Medio;Mañana;Nublado;Coche;Buena;Laboral;Ciudad;11
