11;Poco;Noche;Despejado;Coche;Buena;EntreSemana;Carretera;16;;;
11;Poco;Noche;Despejado;Coche;Buena;Finde;Carretera;16;;;
11;Habitual;Tarde;Despejado;Coche;Buena;EntreSemana;Carretera;16;;;
11;Habitual;Tarde;Despejado;Coche;Buena;Finde;Carretera;18;;;
11;Habitual;Media Jornada;Despejado;Coche;Buena;EntreSemana;Carretera;18;;;
11;Habitual;Media Jornada;Despejado;Coche;Buena;Finde;Carretera;18;;;
11;Habitual;Mañana;Despejado;Coche;Buena;EntreSemana;Carretera;17;;;
11;Habitual;Mañana;Despejado;Coche;Buena;Finde;Carretera;18;;;
11;Habitual;Matutino;Despejado;Coche;Buena;EntreSemana;Carretera;18;;;
11;Habitual;Matutino;Despejado;Coche;Buena;Finde;Carretera;16;;;
5;Poco;Noche;Despejado;Coche;Buena;EntreSemana;Carretera;9;;;
5;Poco;Noche;Despejado;Coche;Buena;Finde;Carretera;8;;;
5;Habitual;Tarde;Despejado;Coche;Buena;EntreSemana;Carretera;10;;;
5;Habitual;Tarde;Despejado;Coche;Buena;Finde;Carretera;10;;;
5;Habitual;Media Jornada;Despejado;Coche;Buena;EntreSemana;Carretera;9;;;
5;Habitual;Media Jornada;Despejado;Coche;Buena;Finde;Carretera;10;;;
5;Habitual;Mañana;Despejado;Coche;Buena;EntreSemana;Carretera;10;;;
5;Habitual;Mañana;Despejado;Coche;Buena;Finde;Carretera;10;;;
5;Alto;Matutino;Despejado;Coche;Buena;EntreSemana;Carretera;11;;;
5;Habitual;Matutino;Despejado;Coche;Buena;Finde;Carretera;9;;;
9;Poco;Noche;Despejado;Coche;Buena;EntreSemana;Carretera;16;;;
9;Poco;Noche;Despejado;Coche;Buena;Finde;Carretera;16;;;
9;Habitual;Tarde;Despejado;Coche;Buena;EntreSemana;Carretera;16;;;
9;Habitual;Tarde;Despejado;Coche;Buena;Finde;Carretera;17;;;
9;Habitual;Media Jornada;Despejado;Coche;Buena;EntreSemana;Carretera;16;;;
9;Habitual;Media Jornada;Despejado;Coche;Buena;Finde;Carretera;16;;;
9;Habitual;Mañana;Despejado;Coche;Buena;EntreSemana;Carretera;16;;;
9;Habitual;Mañana;Despejado;Coche;Buena;Finde;Carretera;16;;;
9;Alto;Matutino;Despejado;Coche;Buena;EntreSemana;Carretera;16;;;
9;Habitual;Matutino;Despejado;Coche;Buena;Finde;Carretera;15;;;
10,6;Poco;Noche;Despejado;Coche;Buena;EntreSemana;Montaña;21;;;
10,6;Poco;Noche;Despejado;Coche;Buena;Finde;Montaña;22;;;
10,6;Poco;Tarde;Despejado;Coche;Buena;EntreSemana;Montaña;22;;;
10,6;Poco;Tarde;Despejado;Coche;Buena;Finde;Montaña;25;;;
10,6;Poco;Media Jornada;Despejado;Coche;Buena;EntreSemana;Montaña;23;;;
10,6;Poco;Media Jornada;Despejado;Coche;Buena;Finde;Montaña;24;;;
10,6;Poco;Mañana;Despejado;Coche;Buena;EntreSemana;Montaña;23;;;
10,6;Poco;Mañana;Despejado;Coche;Buena;Finde;Montaña;22;;;
10,6;Poco;Matutino;Despejado;Coche;Buena;EntreSemana;Montaña;24;;;
10,6;Poco;Matutino;Despejado;Coche;Buena;Finde;Montaña;22;;;
33,5;Poco;Noche;Despejado;Coche;Buena;EntreSemana;Carretera;35;;;
33,5;Poco;Noche;Despejado;Coche;Buena;Finde;Carretera;35;;;
